Fig  3e,,,,"Note from author: 1. The blank cells indicate  the calculated NO2 binding energy was not exothermic under the corresponding {pH,potential}, implying no adsorption; thus, no value is reported and leave with blank.",
Model Data,,,,,2. Reader may find certain potential-pH ranges are duplicated; This is because NO2 binding was calculated separately on both TTM and CuNP for streamlined data analysis and visualization. Further details are provided in the Python code.
pH value,Potential of TTM (V vs. RHE),NO2 binding energy of TTM (kJ mol-1),NO2 binding energy of CuNP (kJ mol-1),,
7.2,-1.55,-7.10277,,,
7.3,-1.55,-7.67673,,,
7.4,-1.55,-8.2507,,,
7.5,-1.55,-8.82467,,,
7.6,-1.55,-9.39864,,,
7.7,-1.55,-9.9726,,,
7.8,-1.55,-10.5466,,,
7.9,-1.55,-11.1205,,,
8.0,-1.55,-11.6945,,,
8.1,-1.55,-12.2685,,,
8.2,-1.55,-12.8424,,,
8.3,-1.55,-13.4164,,,
8.4,-1.55,-13.9904,,,
8.5,-1.55,-14.5643,,,
8.6,-1.55,-15.1383,,,
8.7,-1.55,-15.7123,,,
8.8,-1.55,-16.2862,,,
8.9,-1.55,-16.8602,,,
9.0,-1.55,-17.4342,,,
9.1,-1.55,-18.0081,,,
9.2,-1.55,-18.5821,,,
9.3,-1.55,-19.1561,,,
9.4,-1.55,-19.73,,,
9.5,-1.55,-20.304,,,
9.6,-1.55,-20.878,,,
9.7,-1.55,-21.4519,,,
9.8,-1.55,-22.0259,,,
9.9,-1.55,-22.5999,,,
10.0,-1.55,-23.1739,,,
10.1,-1.55,-23.7478,,,
10.2,-1.55,-24.3218,,,
10.3,-1.55,-24.8958,,,
10.4,-1.55,-25.4697,,,
10.5,-1.55,-26.0437,,,
10.6,-1.55,-26.6177,,,
10.7,-1.5,-27.1916,,,
10.8,-1.5,-27.7656,,,
10.9,-1.5,-28.3396,,,
11.0,-1.5,-28.9135,,,
11.1,-1.5,-29.4875,,,
11.2,-1.5,-30.0615,,,
11.3,-1.5,-30.6354,,,
11.4,-1.5,-31.2094,,,
11.5,-1.5,-31.7834,,,
11.6,-1.5,-32.3573,,,
11.7,-1.5,-32.9313,,,
11.8,-1.5,-33.5053,,,
11.9,-1.5,-34.0792,,,
12.0,-1.5,-34.6532,,,
6.0,-1.5,-0.21516,,,
6.1,-1.5,-0.78913,,,
6.2,-1.5,-1.36309,,,
6.3,-1.5,-1.93706,,,
6.4,-1.5,-2.51103,,,
6.5,-1.5,-3.085,,,
6.6,-1.5,-3.65896,,,
6.7,-1.5,-4.23293,,,
6.8,-1.5,-4.8069,,,
6.9,-1.5,-5.38087,,,
7.0,-1.5,-5.95483,,,
7.1,-1.5,-6.5288,,,
7.2,-1.5,-7.10277,,,
7.3,-1.5,-7.67673,,,
7.4,-1.5,-8.2507,,,
7.5,-1.5,-8.82467,,,
7.6,-1.5,-9.39864,,,
7.7,-1.5,-9.9726,,,
7.8,-1.5,-10.5466,,,
7.9,-1.5,-11.1205,,,
8.0,-1.5,-11.6945,,,
8.1,-1.5,-12.2685,,,
8.2,-1.5,-12.8424,,,
8.3,-1.5,-13.4164,,,
8.4,-1.5,-13.9904,,,
8.5,-1.5,-14.5643,,,
8.6,-1.5,-15.1383,,,
8.7,-1.5,-15.7123,,,
8.8,-1.5,-16.2862,,,
8.9,-1.5,-16.8602,,,
9.0,-1.5,-17.4342,,,
9.1,-1.5,-18.0081,,,
9.2,-1.5,-18.5821,,,
9.3,-1.5,-19.1561,,,
9.4,-1.5,-19.73,,,
9.5,-1.5,-20.304,,,
9.6,-1.5,-20.878,,,
9.7,-1.5,-21.4519,,,
9.8,-1.5,-22.0259,,,
9.9,-1.5,-22.5999,,,
10.0,-1.5,-23.1739,,,
10.1,-1.5,-23.7478,,,
10.2,-1.5,-24.3218,,,
10.3,-1.5,-24.8958,,,
10.4,-1.5,-25.4697,,,
10.5,-1.5,-26.0437,,,
10.6,-1.5,-26.6177,,,
10.7,-1.5,-27.1916,,,
10.8,-1.5,-27.7656,,,
10.9,-1.5,-28.3396,,,
11.0,-1.5,-28.9135,,,
11.1,-1.5,-29.4875,,,
11.2,-1.5,-30.0615,,,
11.3,-1.5,-30.6354,,,
11.4,-1.5,-31.2094,,,
11.5,-1.5,-31.7834,,,
11.6,-1.5,-32.3573,,,
11.7,-1.5,-32.9313,,,
11.8,-1.45,-33.5053,,,
11.9,-1.45,-34.0792,,,
12.0,-1.45,-34.6532,,,
6.0,-1.45,-0.21516,,,
6.1,-1.45,-0.78913,,,
6.2,-1.45,-1.36309,,,
6.3,-1.45,-1.93706,,,
6.4,-1.45,-2.51103,,,
6.5,-1.45,-3.085,,,
6.6,-1.45,-3.65896,,,
6.7,-1.45,-4.23293,,,
6.8,-1.45,-4.8069,,,
6.9,-1.45,-5.38087,,,
7.0,-1.45,-5.95483,,,
7.1,-1.45,-6.5288,,,
7.2,-1.45,-7.10277,,,
7.3,-1.45,-7.67673,,,
7.4,-1.45,-8.2507,,,
7.5,-1.45,-8.82467,,,
7.6,-1.45,-9.39864,,,
7.7,-1.45,-9.9726,,,
7.8,-1.45,-10.5466,,,
7.9,-1.45,-11.1205,,,
8.0,-1.45,-11.6945,,,
8.1,-1.45,-12.2685,,,
8.2,-1.45,-12.8424,,,
8.3,-1.45,-13.4164,,,
8.4,-1.45,-13.9904,,,
8.5,-1.45,-14.5643,,,
8.6,-1.45,-15.1383,,,
8.7,-1.45,-15.7123,,,
8.8,-1.45,-16.2862,,,
8.9,-1.45,-16.8602,,,
9.0,-1.45,-17.4342,,,
9.1,-1.45,-18.0081,,,
9.2,-1.45,-18.5821,,,
9.3,-1.45,-19.1561,,,
9.4,-1.45,-19.73,,,
9.5,-1.45,-20.304,,,
9.6,-1.45,-20.878,,,
9.7,-1.45,-21.4519,,,
9.8,-1.45,-22.0259,,,
9.9,-1.45,-22.5999,,,
10.0,-1.45,-23.1739,,,
10.1,-1.45,-23.7478,,,
10.2,-1.45,-24.3218,,,
10.3,-1.45,-24.8958,,,
10.4,-1.45,-25.4697,,,
10.5,-1.45,-26.0437,,,
10.6,-1.45,-26.6177,,,
10.7,-1.45,-27.1916,,,
10.8,-1.45,-27.7656,,,
10.9,-1.45,-28.3396,,,
11.0,-1.45,-28.9135,,,
11.1,-1.45,-29.4875,,,
11.2,-1.45,-30.0615,,,
11.3,-1.45,-30.6354,,,
11.4,-1.45,-31.2094,,,
11.5,-1.45,-31.7834,,,
11.6,-1.45,-32.3573,,,
11.7,-1.45,-32.9313,,,
11.8,-1.45,-33.5053,,,
11.9,-1.45,-34.0792,,,
12.0,-1.45,-34.6532,,,
6.0,-1.45,-0.21516,,,
6.1,-1.45,-0.78913,,,
6.2,-1.45,-1.36309,,,
6.3,-1.45,-1.93706,,,
6.4,-1.45,-2.51103,,,
6.5,-1.45,-3.085,,,
6.6,-1.45,-3.65896,,,
6.7,-1.45,-4.23293,,,
6.8,-1.4,-4.8069,,,
6.9,-1.4,-5.38087,,,
7.0,-1.4,-5.95483,,,
7.1,-1.4,-6.5288,,,
7.2,-1.4,-7.10277,,,
7.3,-1.4,-7.67673,,,
7.4,-1.4,-8.2507,,,
7.5,-1.4,-8.82467,,,
7.6,-1.4,-9.39864,,,
7.7,-1.4,-9.9726,,,
7.8,-1.4,-10.5466,,,
7.9,-1.4,-11.1205,,,
8.0,-1.4,-11.6945,,,
8.1,-1.4,-12.2685,,,
8.2,-1.4,-12.8424,,,
8.3,-1.4,-13.4164,,,
8.4,-1.4,-13.9904,,,
8.5,-1.4,-14.5643,,,
8.6,-1.4,-15.1383,,,
8.7,-1.4,-15.7123,,,
8.8,-1.4,-16.2862,,,
8.9,-1.4,-16.8602,,,
9.0,-1.4,-17.4342,,,
9.1,-1.4,-18.0081,,,
9.2,-1.4,-18.5821,,,
9.3,-1.4,-19.1561,,,
9.4,-1.4,-19.73,,,
9.5,-1.4,-20.304,,,
9.6,-1.4,-20.878,,,
9.7,-1.4,-21.4519,,,
9.8,-1.4,-22.0259,,,
9.9,-1.4,-22.5999,,,
10.0,-1.4,-23.1739,,,
10.1,-1.4,-23.7478,,,
10.2,-1.4,-24.3218,,,
10.3,-1.4,-24.8958,,,
10.4,-1.4,-25.4697,,,
10.5,-1.4,-26.0437,,,
10.6,-1.4,-26.6177,,,
10.7,-1.4,-27.1916,,,
10.8,-1.4,-27.7656,,,
10.9,-1.4,-28.3396,,,
11.0,-1.4,-28.9135,,,
11.1,-1.4,-29.4875,,,
11.2,-1.4,-30.0615,,,
11.3,-1.4,-30.6354,,,
11.4,-1.4,-31.2094,,,
11.5,-1.4,-31.7834,,,
11.6,-1.4,-32.3573,,,
11.7,-1.4,-32.9313,,,
11.8,-1.4,-33.5053,,,
11.9,-1.4,-34.0792,,,
12.0,-1.4,-34.6532,,,
6.0,-1.4,-0.21516,,,
6.1,-1.4,-0.78913,,,
6.2,-1.4,-1.36309,,,
6.3,-1.4,-1.93706,,,
6.4,-1.4,-2.51103,,,
6.5,-1.4,-3.085,,,
6.6,-1.4,-3.65896,,,
6.7,-1.4,-4.23293,,,
6.8,-1.4,-4.8069,,,
6.9,-1.4,-5.38087,,,
7.0,-1.4,-5.95483,,,
7.1,-1.4,-6.5288,,,
7.2,-1.4,-7.10277,,,
7.3,-1.4,-7.67673,,,
7.4,-1.4,-8.2507,,,
7.5,-1.4,-8.82467,,,
7.6,-1.4,-9.39864,,,
7.7,-1.4,-9.9726,,,
7.8,-1.4,-10.5466,,,
7.9,-1.35,-11.1205,,,
8.0,-1.35,-11.6945,,,
8.1,-1.35,-12.2685,,,
8.2,-1.35,-12.8424,,,
8.3,-1.35,-13.4164,,,
8.4,-1.35,-13.9904,,,
8.5,-1.35,-14.5643,,,
8.6,-1.35,-15.1383,,,
8.7,-1.35,-15.7123,,,
8.8,-1.35,-16.2862,,,
8.9,-1.35,-16.8602,,,
9.0,-1.35,-17.4342,,,
9.1,-1.35,-18.0081,,,
9.2,-1.35,-18.5821,,,
9.3,-1.35,-19.1561,,,
9.4,-1.35,-19.73,,,
9.5,-1.35,-20.304,,,
9.6,-1.35,-20.878,,,
9.7,-1.35,-21.4519,,,
9.8,-1.35,-22.0259,,,
9.9,-1.35,-22.5999,,,
10.0,-1.35,-23.1739,,,
10.1,-1.35,-23.7478,,,
10.2,-1.35,-24.3218,,,
10.3,-1.35,-24.8958,,,
10.4,-1.35,-25.4697,,,
10.5,-1.35,-26.0437,,,
10.6,-1.35,-26.6177,,,
10.7,-1.35,-27.1916,,,
10.8,-1.35,-27.7656,,,
10.9,-1.35,-28.3396,,,
11.0,-1.35,-28.9135,,,
11.1,-1.35,-29.4875,,,
11.2,-1.35,-30.0615,,,
11.3,-1.35,-30.6354,,,
11.4,-1.35,-31.2094,,,
11.5,-1.35,-31.7834,,,
11.6,-1.35,-32.3573,,,
11.7,-1.35,-32.9313,,,
11.8,-1.35,-33.5053,,,
11.9,-1.35,-34.0792,,,
12.0,-1.35,-34.6532,,,
6.0,-1.35,-0.21516,,,
6.1,-1.35,-0.78913,,,
6.2,-1.35,-1.36309,,,
6.3,-1.35,-1.93706,,,
6.4,-1.35,-2.51103,,,
6.5,-1.35,-3.085,,,
6.6,-1.35,-3.65896,,,
6.7,-1.35,-4.23293,,,
6.8,-1.35,-4.8069,,,
6.9,-1.35,-5.38087,,,
7.0,-1.35,-5.95483,,,
7.1,-1.35,-6.5288,,,
7.2,-1.35,-7.10277,,,
7.3,-1.35,-7.67673,,,
7.4,-1.35,-8.2507,,,
7.5,-1.35,-8.82467,,,
7.6,-1.35,-9.39864,,,
7.7,-1.35,-9.9726,,,
7.8,-1.35,-10.5466,,,
7.9,-1.35,-11.1205,,,
8.0,-1.35,-11.6945,,,
8.1,-1.35,-12.2685,,,
8.2,-1.35,-12.8424,,,
8.3,-1.35,-13.4164,,,
8.4,-1.35,-13.9904,,,
8.5,-1.35,-14.5643,,,
8.6,-1.35,-15.1383,,,
8.7,-1.35,-15.7123,,,
8.8,-1.35,-16.2862,,,
8.9,-1.35,-16.8602,,,
9.0,-1.3,-17.4342,,,
9.1,-1.3,-18.0081,,,
9.2,-1.3,-18.5821,,,
9.3,-1.3,-19.1561,,,
9.4,-1.3,-19.73,,,
9.5,-1.3,-20.304,,,
9.6,-1.3,-20.878,,,
9.7,-1.3,-21.4519,,,
9.8,-1.3,-22.0259,,,
9.9,-1.3,-22.5999,,,
10.0,-1.3,-23.1739,,,
10.1,-1.3,-23.7478,,,
10.2,-1.3,-24.3218,,,
10.3,-1.3,-24.8958,,,
10.4,-1.3,-25.4697,,,
10.5,-1.3,-26.0437,,,
10.6,-1.3,-26.6177,,,
10.7,-1.3,-27.1916,,,
10.8,-1.3,-27.7656,,,
10.9,-1.3,-28.3396,,,
11.0,-1.3,-28.9135,,,
11.1,-1.3,-29.4875,,,
11.2,-1.3,-30.0615,,,
11.3,-1.3,-30.6354,,,
11.4,-1.3,-31.2094,,,
11.5,-1.3,-31.7834,,,
11.6,-1.3,-32.3573,,,
11.7,-1.3,-32.9313,,,
11.8,-1.3,-33.5053,,,
11.9,-1.3,-34.0792,,,
12.0,-1.3,-34.6532,,,
6.0,-1.3,-0.21516,,,
6.1,-1.3,-0.78913,,,
6.2,-1.3,-1.36309,,,
6.3,-1.3,-1.93706,,,
6.4,-1.3,-2.51103,,,
6.5,-1.3,-3.085,,,
6.6,-1.3,-3.65896,,,
6.7,-1.3,-4.23293,,,
6.8,-1.3,-4.8069,,,
6.9,-1.3,-5.38087,,,
7.0,-1.3,-5.95483,,,
7.1,-1.3,-6.5288,,,
7.2,-1.3,-7.10277,,,
7.3,-1.3,-7.67673,,,
7.4,-1.3,-8.2507,,,
7.5,-1.3,-8.82467,,,
7.6,-1.3,-9.39864,,,
7.7,-1.3,-9.9726,,,
7.8,-1.3,-10.5466,,,
7.9,-1.3,-11.1205,,,
8.0,-1.3,-11.6945,,,
8.1,-1.3,-12.2685,,,
8.2,-1.3,-12.8424,,,
8.3,-1.3,-13.4164,,,
8.4,-1.3,-13.9904,,,
8.5,-1.3,-14.5643,,,
8.6,-1.3,-15.1383,,,
8.7,-1.3,-15.7123,,,
8.8,-1.3,-16.2862,,,
8.9,-1.3,-16.8602,,,
9.0,-1.3,-17.4342,,,
9.1,-1.3,-18.0081,,,
9.2,-1.3,-18.5821,,,
9.3,-1.3,-19.1561,,,
9.4,-1.3,-19.73,,,
9.5,-1.3,-20.304,,,
9.6,-1.3,-20.878,,,
9.7,-1.3,-21.4519,,,
9.8,-1.3,-22.0259,,,
9.9,-1.3,-22.5999,,,
10.0,-1.3,-23.1739,,,
10.1,-1.25,-23.7478,,,
10.2,-1.25,-24.3218,,,
10.3,-1.25,-24.8958,,,
10.4,-1.25,-25.4697,,,
10.5,-1.25,-26.0437,,,
10.6,-1.25,-26.6177,,,
10.7,-1.25,-27.1916,,,
10.8,-1.25,-27.7656,,,
10.9,-1.25,-28.3396,,,
11.0,-1.25,-28.9135,,,
11.1,-1.25,-29.4875,,,
11.2,-1.25,-30.0615,,,
11.3,-1.25,-30.6354,,,
11.4,-1.25,-31.2094,,,
11.5,-1.25,-31.7834,,,
11.6,-1.25,-32.3573,,,
11.7,-1.25,-32.9313,,,
11.8,-1.25,-33.5053,,,
11.9,-1.25,-34.0792,,,
12.0,-1.25,-34.6532,,,
6.0,-1.25,-0.21516,,,
6.1,-1.25,-0.78913,,,
6.2,-1.25,-1.36309,,,
6.3,-1.25,-1.93706,,,
6.4,-1.25,-2.51103,,,
6.5,-1.25,-3.085,,,
6.6,-1.25,-3.65896,,,
6.7,-1.25,-4.23293,,,
6.8,-1.25,-4.8069,,,
6.9,-1.25,-5.38087,,,
7.0,-1.25,-5.95483,,,
7.1,-1.25,-6.5288,,,
7.2,-1.25,-7.10277,,,
7.3,-1.25,-7.67673,,,
7.4,-1.25,-8.2507,,,
7.5,-1.25,-8.82467,,,
7.6,-1.25,-9.39864,,,
7.7,-1.25,-9.9726,,,
7.8,-1.25,-10.5466,,,
7.9,-1.25,-11.1205,,,
8.0,-1.25,-11.6945,,,
8.1,-1.25,-12.2685,,,
8.2,-1.25,-12.8424,,,
8.3,-1.25,-13.4164,,,
8.4,-1.25,-13.9904,,,
8.5,-1.25,-14.5643,,,
8.6,-1.25,-15.1383,,,
8.7,-1.25,-15.7123,,,
8.8,-1.25,-16.2862,,,
8.9,-1.25,-16.8602,,,
9.0,-1.25,-17.4342,,,
9.1,-1.25,-18.0081,,,
9.2,-1.25,-18.5821,,,
9.3,-1.25,-19.1561,,,
9.4,-1.25,-19.73,,,
9.5,-1.25,-20.304,,,
9.6,-1.25,-20.878,,,
9.7,-1.25,-21.4519,,,
9.8,-1.25,-22.0259,,,
9.9,-1.25,-22.5999,,,
10.0,-1.25,-23.1739,,,
10.1,-1.25,-23.7478,,,
10.2,-1.25,-24.3218,,,
10.3,-1.25,-24.8958,,,
10.4,-1.25,-25.4697,,,
10.5,-1.25,-26.0437,,,
10.6,-1.25,-26.6177,,,
10.7,-1.25,-27.1916,,,
10.8,-1.25,-27.7656,,,
10.9,-1.25,-28.3396,,,
11.0,-1.25,-28.9135,,,
11.1,-1.25,-29.4875,,,
11.2,-1.2,-30.0615,,,
11.3,-1.2,-30.6354,,,
11.4,-1.2,-31.2094,,,
11.5,-1.2,-31.7834,,,
11.6,-1.2,-32.3573,,,
11.7,-1.2,-32.9313,,,
11.8,-1.2,-33.5053,,,
11.9,-1.2,-34.0792,,,
12.0,-1.2,-34.6532,,,
6.0,-1.2,-0.21516,,,
6.1,-1.2,-0.78913,,,
6.2,-1.2,-1.36309,,,
6.3,-1.2,-1.93706,,,
6.4,-1.2,-2.51103,,,
6.5,-1.2,-3.085,,,
6.6,-1.2,-3.65896,,,
6.7,-1.2,-4.23293,,,
6.8,-1.2,-4.8069,,,
6.9,-1.2,-5.38087,,,
7.0,-1.2,-5.95483,,,
7.1,-1.2,-6.5288,,,
7.2,-1.2,-7.10277,,,
7.3,-1.2,-7.67673,,,
7.4,-1.2,-8.2507,,,
7.5,-1.2,-8.82467,,,
7.6,-1.2,-9.39864,,,
7.7,-1.2,-9.9726,,,
7.8,-1.2,-10.5466,,,
7.9,-1.2,-11.1205,,,
8.0,-1.2,-11.6945,,,
8.1,-1.2,-12.2685,,,
8.2,-1.2,-12.8424,,,
8.3,-1.2,-13.4164,,,
8.4,-1.2,-13.9904,,,
8.5,-1.2,-14.5643,,,
8.6,-1.2,-15.1383,,,
8.7,-1.2,-15.7123,,,
8.8,-1.2,-16.2862,,,
8.9,-1.2,-16.8602,,,
9.0,-1.2,-17.4342,,,
9.1,-1.2,-18.0081,,,
9.2,-1.2,-18.5821,,,
9.3,-1.2,-19.1561,,,
9.4,-1.2,-19.73,,,
9.5,-1.2,-20.304,,,
9.6,-1.2,-20.878,,,
9.7,-1.2,-21.4519,,,
9.8,-1.2,-22.0259,,,
9.9,-1.2,-22.5999,,,
10.0,-1.2,-23.1739,,,
10.1,-1.2,-23.7478,,,
10.2,-1.2,-24.3218,,,
10.3,-1.2,-24.8958,,,
10.4,-1.2,-25.4697,,,
10.5,-1.2,-26.0437,,,
10.6,-1.2,-26.6177,,,
10.7,-1.2,-27.1916,,,
10.8,-1.2,-27.7656,,,
10.9,-1.2,-28.3396,,,
11.0,-1.2,-28.9135,,,
11.1,-1.2,-29.4875,,,
11.2,-1.2,-30.0615,,,
11.3,-1.2,-30.6354,,,
11.4,-1.2,-31.2094,,,
11.5,-1.2,-31.7834,,,
11.6,-1.2,-32.3573,,,
11.7,-1.2,-32.9313,,,
11.8,-1.2,-33.5053,,,
11.9,-1.2,-34.0792,,,
12.0,-1.2,-34.6532,,,
6.0,-1.2,-0.21516,,,
6.1,-1.2,-0.78913,,,
6.2,-1.15,-1.36309,,,
6.3,-1.15,-1.93706,,,
6.4,-1.15,-2.51103,,,
6.5,-1.15,-3.085,,,
6.6,-1.15,-3.65896,,,
6.7,-1.15,-4.23293,,,
6.8,-1.15,-4.8069,,,
6.9,-1.15,-5.38087,,,
7.0,-1.15,-5.95483,,,
7.1,-1.15,-6.5288,,,
7.2,-1.15,-7.10277,,,
7.3,-1.15,-7.67673,,,
7.4,-1.15,-8.2507,,,
7.5,-1.15,-8.82467,,,
7.6,-1.15,-9.39864,,,
7.7,-1.15,-9.9726,,,
7.8,-1.15,-10.5466,,,
7.9,-1.15,-11.1205,,,
8.0,-1.15,-11.6945,,,
8.1,-1.15,-12.2685,,,
8.2,-1.15,-12.8424,,,
8.3,-1.15,-13.4164,,,
8.4,-1.15,-13.9904,,,
8.5,-1.15,-14.5643,,,
8.6,-1.15,-15.1383,,,
8.7,-1.15,-15.7123,,,
8.8,-1.15,-16.2862,,,
8.9,-1.15,-16.8602,,,
9.0,-1.15,-17.4342,,,
9.1,-1.15,-18.0081,,,
9.2,-1.15,-18.5821,,,
9.3,-1.15,-19.1561,,,
9.4,-1.15,-19.73,,,
9.5,-1.15,-20.304,,,
9.6,-1.15,-20.878,,,
9.7,-1.15,-21.4519,,,
9.8,-1.15,-22.0259,,,
9.9,-1.15,-22.5999,,,
10.0,-1.15,-23.1739,,,
10.1,-1.15,-23.7478,,,
10.2,-1.15,-24.3218,,,
10.3,-1.15,-24.8958,,,
10.4,-1.15,-25.4697,,,
10.5,-1.15,-26.0437,,,
10.6,-1.15,-26.6177,,,
10.7,-1.15,-27.1916,,,
10.8,-1.15,-27.7656,,,
10.9,-1.15,-28.3396,,,
11.0,-1.15,-28.9135,,,
11.1,-1.15,-29.4875,,,
11.2,-1.15,-30.0615,,,
11.3,-1.15,-30.6354,,,
11.4,-1.15,-31.2094,,,
11.5,-1.15,-31.7834,,,
11.6,-1.15,-32.3573,,,
11.7,-1.15,-32.9313,,,
11.8,-1.15,-33.5053,,,
11.9,-1.15,-34.0792,,,
12.0,-1.15,-34.6532,,,
6.0,-1.15,-0.21516,,,
6.1,-1.15,-0.78913,,,
6.2,-1.15,-1.36309,,,
6.3,-1.15,-1.93706,,,
6.4,-1.15,-2.51103,,,
6.5,-1.15,-3.085,,,
6.6,-1.15,-3.65896,,,
6.7,-1.15,-4.23293,,,
6.8,-1.15,-4.8069,,,
6.9,-1.15,-5.38087,,,
7.0,-1.15,-5.95483,,,
7.1,-1.15,-6.5288,,,
7.2,-1.15,-7.10277,,,
7.3,-1.1,-7.67673,,,
7.4,-1.1,-8.2507,,,
7.5,-1.1,-8.82467,,,
7.6,-1.1,-9.39864,,,
7.7,-1.1,-9.9726,,,
7.8,-1.1,-10.5466,,,
7.9,-1.1,-11.1205,,,
8.0,-1.1,-11.6945,,,
8.1,-1.1,-12.2685,,,
8.2,-1.1,-12.8424,,,
8.3,-1.1,-13.4164,,,
8.4,-1.1,-13.9904,,,
8.5,-1.1,-14.5643,,,
8.6,-1.1,-15.1383,,,
8.7,-1.1,-15.7123,,,
8.8,-1.1,-16.2862,,,
8.9,-1.1,-16.8602,,,
9.0,-1.1,-17.4342,,,
9.1,-1.1,-18.0081,,,
9.2,-1.1,-18.5821,,,
9.3,-1.1,-19.1561,,,
9.4,-1.1,-19.73,,,
9.5,-1.1,-20.304,,,
9.6,-1.1,-20.878,,,
9.7,-1.1,-21.4519,,,
9.8,-1.1,-22.0259,,,
9.9,-1.1,-22.5999,,,
10.0,-1.1,-23.1739,,,
10.1,-1.1,-23.7478,,,
10.2,-1.1,-24.3218,,,
10.3,-1.1,-24.8958,,,
10.4,-1.1,-25.4697,,,
10.5,-1.1,-26.0437,,,
10.6,-1.1,-26.6177,,,
10.7,-1.1,-27.1916,,,
10.8,-1.1,-27.7656,,,
10.9,-1.1,-28.3396,,,
11.0,-1.1,-28.9135,,,
11.1,-1.1,-29.4875,,,
11.2,-1.1,-30.0615,,,
11.3,-1.1,-30.6354,,,
11.4,-1.1,-31.2094,,,
11.5,-1.1,-31.7834,,,
11.6,-1.1,-32.3573,,,
11.7,-1.1,-32.9313,,,
11.8,-1.1,-33.5053,,,
11.9,-1.1,-34.0792,,,
12.0,-1.1,-34.6532,,,
6.0,-1.1,-0.21516,,,
6.1,-1.1,-0.78913,,,
6.2,-1.1,-1.36309,,,
6.3,-1.1,-1.93706,,,
6.4,-1.1,-2.51103,,,
6.5,-1.1,-3.085,,,
6.6,-1.1,-3.65896,,,
6.7,-1.1,-4.23293,,,
6.8,-1.1,-4.8069,,,
6.9,-1.1,-5.38087,,,
7.0,-1.1,-5.95483,,,
7.1,-1.1,-6.5288,,,
7.2,-1.1,-7.10277,,,
7.3,-1.1,-7.67673,,,
7.4,-1.1,-8.2507,,,
7.5,-1.1,-8.82467,,,
7.6,-1.1,-9.39864,,,
7.7,-1.1,-9.9726,,,
7.8,-1.1,-10.5466,,,
7.9,-1.1,-11.1205,,,
8.0,-1.1,-11.6945,,,
8.1,-1.1,-12.2685,,,
8.2,-1.1,-12.8424,,,
8.3,-1.1,-13.4164,,,
8.4,-1.05,-13.9904,,,
8.5,-1.05,-14.5643,,,
8.6,-1.05,-15.1383,,,
8.7,-1.05,-15.7123,,,
8.8,-1.05,-16.2862,,,
8.9,-1.05,-16.8602,,,
9.0,-1.05,-17.4342,,,
9.1,-1.05,-18.0081,,,
9.2,-1.05,-18.5821,,,
9.3,-1.05,-19.1561,,,
9.4,-1.05,-19.73,,,
9.5,-1.05,-20.304,,,
9.6,-1.05,-20.878,,,
9.7,-1.05,-21.4519,,,
9.8,-1.05,-22.0259,,,
9.9,-1.05,-22.5999,,,
10.0,-1.05,-23.1739,,,
10.1,-1.05,-23.7478,,,
10.2,-1.05,-24.3218,,,
10.3,-1.05,-24.8958,,,
10.4,-1.05,-25.4697,,,
10.5,-1.05,-26.0437,,,
10.6,-1.05,-26.6177,,,
10.7,-1.05,-27.1916,,,
10.8,-1.05,-27.7656,,,
10.9,-1.05,-28.3396,,,
11.0,-1.05,-28.9135,,,
11.1,-1.05,-29.4875,,,
11.2,-1.05,-30.0615,,,
11.3,-1.05,-30.6354,,,
11.4,-1.05,-31.2094,,,
11.5,-1.05,-31.7834,,,
11.6,-1.05,-32.3573,,,
11.7,-1.05,-32.9313,,,
11.8,-1.05,-33.5053,,,
11.9,-1.05,-34.0792,,,
12.0,-1.05,-34.6532,,,
6.0,-1.05,-0.21516,,,
6.1,-1.05,-0.78913,,,
6.2,-1.05,-1.36309,,,
6.3,-1.05,-1.93706,,,
6.4,-1.05,-2.51103,,,
6.5,-1.05,-3.085,,,
6.6,-1.05,-3.65896,,,
6.7,-1.05,-4.23293,,,
6.8,-1.05,-4.8069,,,
6.9,-1.05,-5.38087,,,
7.0,-1.05,-5.95483,,,
7.1,-1.05,-6.5288,,,
7.2,-1.05,-7.10277,,,
7.3,-1.05,-7.67673,,,
7.4,-1.05,-8.2507,,,
7.5,-1.05,-8.82467,,,
7.6,-1.05,-9.39864,,,
7.7,-1.05,-9.9726,,,
7.8,-1.05,-10.5466,,,
7.9,-1.05,-11.1205,,,
8.0,-1.05,-11.6945,,,
8.1,-1.05,-12.2685,,,
8.2,-1.05,-12.8424,,,
8.3,-1.05,-13.4164,,,
8.4,-1.05,-13.9904,,,
8.5,-1.05,-14.5643,,,
8.6,-1.05,-15.1383,,,
8.7,-1.05,-15.7123,,,
8.8,-1.05,-16.2862,,,
8.9,-1.05,-16.8602,,,
9.0,-1.05,-17.4342,,,
9.1,-1.05,-18.0081,,,
9.2,-1.05,-18.5821,,,
9.3,-1.05,-19.1561,,,
9.4,-1.05,-19.73,,,
9.5,-1,-20.304,,,
9.6,-1,-20.878,,,
9.7,-1,-21.4519,,,
9.8,-1,-22.0259,,,
9.9,-1,-22.5999,,,
10.0,-1,-23.1739,,,
10.1,-1,-23.7478,,,
10.2,-1,-24.3218,,,
10.3,-1,-24.8958,,,
10.4,-1,-25.4697,,,
10.5,-1,-26.0437,,,
10.6,-1,-26.6177,,,
10.7,-1,-27.1916,,,
10.8,-1,-27.7656,,,
