Fig  3e,,,,"Note from author: 1. The blank cells indicate  the calculated NO2 binding energy was not exothermic under the corresponding {pH,potential}, implying no adsorption; thus, no value is reported and leave with blank.",
Model Data,,,,,2. Reader may find certain potential-pH ranges are duplicated; This is because NO2 binding was calculated separately on both TTM and CuNP for streamlined data analysis and visualization. Further details are provided in the Python code.
pH value,Potential of TTM (V vs. RHE),NO2 binding energy of TTM (kJ mol-1),NO2 binding energy of CuNP (kJ mol-1),,
10.6,-3,-26.6177,,,
10.7,-3,-27.1916,,,
10.8,-3,-27.7656,,,
10.9,-3,-28.3396,,,
11.0,-3,-28.9135,,,
11.1,-3,-29.4875,,,
11.2,-3,-30.0615,,,
11.3,-3,-30.6354,,,
11.4,-3,-31.2094,,,
11.5,-3,-31.7834,,,
11.6,-3,-32.3573,,,
11.7,-3,-32.9313,,,
11.8,-3,-33.5053,,,
11.9,-3,-34.0792,,,
12.0,-3,-34.6532,,,
6.0,-3,-0.21516,,,
6.1,-3,-0.78913,,,
6.2,-3,-1.36309,,,
6.3,-3,-1.93706,,,
6.4,-3,-2.51103,,,
6.5,-3,-3.085,,,
6.6,-3,-3.65896,,,
6.7,-3,-4.23293,,,
6.8,-3,-4.8069,,,
6.9,-3,-5.38087,,,
7.0,-3,-5.95483,,,
7.1,-3,-6.5288,,,
7.2,-3,-7.10277,,,
7.3,-3,-7.67673,,,
7.4,-3,-8.2507,,,
7.5,-3,-8.82467,,,
7.6,-3,-9.39864,,,
7.7,-3,-9.9726,,,
7.8,-3,-10.5466,,,
7.9,-3,-11.1205,,,
8.0,-3,-11.6945,,,
8.1,-3,-12.2685,,,
8.2,-3,-12.8424,,,
8.3,-3,-13.4164,,,
8.4,-3,-13.9904,,,
8.5,-3,-14.5643,,,
8.6,-3,-15.1383,,,
8.7,-3,-15.7123,,,
8.8,-3,-16.2862,,,
8.9,-3,-16.8602,,,
9.0,-3,-17.4342,,,
9.1,-3,-18.0081,,,
9.2,-3,-18.5821,,,
9.3,-2.95,-19.1561,,,
9.4,-2.95,-19.73,,,
9.5,-2.95,-20.304,,,
9.6,-2.95,-20.878,,,
9.7,-2.95,-21.4519,,,
9.8,-2.95,-22.0259,,,
9.9,-2.95,-22.5999,,,
10.0,-2.95,-23.1739,,,
10.1,-2.95,-23.7478,,,
10.2,-2.95,-24.3218,,,
10.3,-2.95,-24.8958,,,
10.4,-2.95,-25.4697,,,
10.5,-2.95,-26.0437,,,
10.6,-2.95,-26.6177,,,
10.7,-2.95,-27.1916,,,
10.8,-2.95,-27.7656,,,
10.9,-2.95,-28.3396,,,
11.0,-2.95,-28.9135,,,
11.1,-2.95,-29.4875,,,
11.2,-2.95,-30.0615,,,
11.3,-2.95,-30.6354,,,
11.4,-2.95,-31.2094,,,
11.5,-2.95,-31.7834,,,
11.6,-2.95,-32.3573,,,
11.7,-2.95,-32.9313,,,
11.8,-2.95,-33.5053,,,
11.9,-2.95,-34.0792,,,
12.0,-2.95,-34.6532,,,
6.0,-2.95,-0.21516,,,
6.1,-2.95,-0.78913,,,
6.2,-2.95,-1.36309,,,
6.3,-2.95,-1.93706,,,
6.4,-2.95,-2.51103,,,
6.5,-2.95,-3.085,,,
6.6,-2.95,-3.65896,,,
6.7,-2.95,-4.23293,,,
6.8,-2.95,-4.8069,,,
6.9,-2.95,-5.38087,,,
7.0,-2.95,-5.95483,,,
7.1,-2.95,-6.5288,,,
7.2,-2.95,-7.10277,,,
7.3,-2.95,-7.67673,,,
7.4,-2.95,-8.2507,,,
7.5,-2.95,-8.82467,,,
7.6,-2.95,-9.39864,,,
7.7,-2.95,-9.9726,,,
7.8,-2.95,-10.5466,,,
7.9,-2.95,-11.1205,,,
8.0,-2.95,-11.6945,,,
8.1,-2.95,-12.2685,,,
8.2,-2.95,-12.8424,,,
8.3,-2.95,-13.4164,,,
8.4,-2.95,-13.9904,,,
8.5,-2.95,-14.5643,,,
8.6,-2.95,-15.1383,,,
8.7,-2.95,-15.7123,,,
8.8,-2.95,-16.2862,,,
8.9,-2.95,-16.8602,,,
9.0,-2.95,-17.4342,,,
9.1,-2.95,-18.0081,,,
9.2,-2.95,-18.5821,,,
9.3,-2.95,-19.1561,,,
9.4,-2.95,-19.73,,,
9.5,-2.95,-20.304,,,
9.6,-2.95,-20.878,,,
9.7,-2.95,-21.4519,,,
9.8,-2.95,-22.0259,,,
9.9,-2.95,-22.5999,,,
10.0,-2.95,-23.1739,,,
10.1,-2.95,-23.7478,,,
10.2,-2.95,-24.3218,,,
10.3,-2.95,-24.8958,,,
10.4,-2.9,-25.4697,,,
10.5,-2.9,-26.0437,,,
10.6,-2.9,-26.6177,,,
10.7,-2.9,-27.1916,,,
10.8,-2.9,-27.7656,,,
10.9,-2.9,-28.3396,,,
11.0,-2.9,-28.9135,,,
11.1,-2.9,-29.4875,,,
11.2,-2.9,-30.0615,,,
11.3,-2.9,-30.6354,,,
11.4,-2.9,-31.2094,,,
11.5,-2.9,-31.7834,,,
11.6,-2.9,-32.3573,,,
11.7,-2.9,-32.9313,,,
11.8,-2.9,-33.5053,,,
11.9,-2.9,-34.0792,,,
12.0,-2.9,-34.6532,,,
6.0,-2.9,-0.21516,,,
6.1,-2.9,-0.78913,,,
6.2,-2.9,-1.36309,,,
6.3,-2.9,-1.93706,,,
6.4,-2.9,-2.51103,,,
6.5,-2.9,-3.085,,,
6.6,-2.9,-3.65896,,,
6.7,-2.9,-4.23293,,,
6.8,-2.9,-4.8069,,,
6.9,-2.9,-5.38087,,,
7.0,-2.9,-5.95483,,,
7.1,-2.9,-6.5288,,,
7.2,-2.9,-7.10277,,,
7.3,-2.9,-7.67673,,,
7.4,-2.9,-8.2507,,,
7.5,-2.9,-8.82467,,,
7.6,-2.9,-9.39864,,,
7.7,-2.9,-9.9726,,,
7.8,-2.9,-10.5466,,,
7.9,-2.9,-11.1205,,,
8.0,-2.9,-11.6945,,,
8.1,-2.9,-12.2685,,,
8.2,-2.9,-12.8424,,,
8.3,-2.9,-13.4164,,,
8.4,-2.9,-13.9904,,,
8.5,-2.9,-14.5643,,,
8.6,-2.9,-15.1383,,,
8.7,-2.9,-15.7123,,,
8.8,-2.9,-16.2862,,,
8.9,-2.9,-16.8602,,,
9.0,-2.9,-17.4342,,,
9.1,-2.9,-18.0081,,,
9.2,-2.9,-18.5821,,,
9.3,-2.9,-19.1561,,,
9.4,-2.9,-19.73,,,
9.5,-2.9,-20.304,,,
9.6,-2.9,-20.878,,,
9.7,-2.9,-21.4519,,,
9.8,-2.9,-22.0259,,,
9.9,-2.9,-22.5999,,,
10.0,-2.9,-23.1739,,,
10.1,-2.9,-23.7478,,,
10.2,-2.9,-24.3218,,,
10.3,-2.9,-24.8958,,,
10.4,-2.9,-25.4697,,,
10.5,-2.9,-26.0437,,,
10.6,-2.9,-26.6177,,,
10.7,-2.9,-27.1916,,,
10.8,-2.9,-27.7656,,,
10.9,-2.9,-28.3396,,,
11.0,-2.9,-28.9135,,,
11.1,-2.9,-29.4875,,,
11.2,-2.9,-30.0615,,,
11.3,-2.9,-30.6354,,,
11.4,-2.9,-31.2094,,,
11.5,-2.85,-31.7834,,,
11.6,-2.85,-32.3573,,,
11.7,-2.85,-32.9313,,,
11.8,-2.85,-33.5053,,,
11.9,-2.85,-34.0792,,,
12.0,-2.85,-34.6532,,,
6.0,-2.85,-0.21516,,,
6.1,-2.85,-0.78913,,,
6.2,-2.85,-1.36309,,,
6.3,-2.85,-1.93706,,,
6.4,-2.85,-2.51103,,,
6.5,-2.85,-3.085,,,
6.6,-2.85,-3.65896,,,
6.7,-2.85,-4.23293,,,
6.8,-2.85,-4.8069,,,
6.9,-2.85,-5.38087,,,
7.0,-2.85,-5.95483,,,
7.1,-2.85,-6.5288,,,
7.2,-2.85,-7.10277,,,
7.3,-2.85,-7.67673,,,
7.4,-2.85,-8.2507,,,
7.5,-2.85,-8.82467,,,
7.6,-2.85,-9.39864,,,
7.7,-2.85,-9.9726,,,
