Fig  3d,,,"Note from author: The {pH,potential} ranges are included only when the calculated NO2 binding energy is exothermic (favorable for adsorption)."
Model Data,,,
pH value,Potential of CuNP  (V vs. RHE),NO2 binding energy of CuNP (kJ mol-1),
10.7,-0.05,-37.7901,
10.8,-0.05,-38.364,
10.9,-0.05,-38.938,
11,-0.05,-39.512,
11.1,-0.05,-40.0859,
11.2,-0.05,-40.6599,
11.3,-0.05,-41.2339,
11.4,-0.05,-41.8078,
11.5,-0.05,-42.3818,
11.6,-0.05,-42.9558,
11.7,-0.05,-43.5298,
11.8,-0.05,-44.1037,
11.9,-0.05,-44.6777,
12,-0.05,-45.2517,
4.9,-1.11E-14,-8.18867,
5,-1.11E-14,-8.76264,
5.1,-1.11E-14,-9.33661,
5.2,-1.11E-14,-9.91058,
5.3,-1.11E-14,-10.4845,
5.4,-1.11E-14,-11.0585,
5.5,-1.11E-14,-11.6325,
5.6,-1.11E-14,-12.2064,
5.7,-1.11E-14,-12.7804,
5.8,-1.11E-14,-13.3544,
5.9,-1.11E-14,-13.9283,
6,-1.11E-14,-14.5023,
6.1,-1.11E-14,-15.0763,
6.2,-1.11E-14,-15.6502,
6.3,-1.11E-14,-16.2242,
6.4,-1.11E-14,-16.7982,
6.5,-1.11E-14,-17.3722,
6.6,-1.11E-14,-17.9461,
6.7,-1.11E-14,-18.5201,
6.8,-1.11E-14,-19.0941,
6.9,-1.11E-14,-19.668,
7,-1.11E-14,-20.242,
7.1,-1.11E-14,-20.816,
7.2,-1.11E-14,-21.3899,
7.3,-1.11E-14,-21.9639,
7.4,-1.11E-14,-22.5379,
7.5,-1.11E-14,-23.1118,
7.6,-1.11E-14,-23.6858,
7.7,-1.11E-14,-24.2598,
7.8,-1.11E-14,-24.8337,
7.9,-1.11E-14,-25.4077,
8,-1.11E-14,-25.9817,
8.1,-1.11E-14,-26.5556,
8.2,-1.11E-14,-27.1296,
8.3,-1.11E-14,-27.7036,
8.4,-1.11E-14,-28.2775,
8.5,-1.11E-14,-28.8515,
8.6,-1.11E-14,-29.4255,
8.7,-1.11E-14,-29.9994,
8.8,-1.11E-14,-30.5734,
8.9,-1.11E-14,-31.1474,
9,-1.11E-14,-31.7213,
9.1,-1.11E-14,-32.2953,
9.2,-1.11E-14,-32.8693,
9.3,-1.11E-14,-33.4432,
9.4,-1.11E-14,-34.0172,
9.5,-1.11E-14,-34.5912,
9.6,-1.11E-14,-35.1651,
9.7,-1.11E-14,-35.7391,
9.8,-1.11E-14,-36.3131,
9.9,-1.11E-14,-36.887,
10,-1.11E-14,-37.461,
10.1,-1.11E-14,-38.035,
10.2,-1.11E-14,-38.6089,
10.3,-1.11E-14,-39.1829,
10.4,-1.11E-14,-39.7569,
10.5,-1.11E-14,-40.3308,
10.6,-1.11E-14,-40.9048,
10.7,-1.11E-14,-41.4788,
